#N =          J1         KA         KC         J2          E
  457         19          3         17          3   5138.643
  458         17          9          9          1   5141.758
  459         17          2         16          5   5152.596
  460         10          5          5          7   5155.819
  461         15          5         11          5   5166.103
  462         18          7         11          1   5174.471
  463         14          7          7          5   5175.040
  464         18          0         18          5   5175.261
  465         14         11          3          3   5185.869
  466         12          1         11          7   5194.547
  467         20          1         19          3   5203.916
  468         13         12          2          3   5206.098
  469         21          1         21          3   5222.873
  470         13          1         13          7   5223.592
  471         15         10          6          3   5225.624
  472          9          7          3          7   5272.742
  473         11          4          8          7   5272.861
  474         17          7         11          3   5278.616
  475         20          3         17          1   5279.580
  476         18          4         14          3   5282.496
  477          8          8          0          7   5289.183
  478         12         10          2          5   5294.004
  479         15         12          4          1   5303.313
  480         13          9          5          5   5314.828
  481         10          6          4          7   5317.302
  482         16          9          7          3   5328.467
  483         16          3         13          5   5330.605
  484         14         13          1          1   5330.925
  485         11         11          1          5   5332.545
  486         16         11          5          1   5335.395
  487         18          8         10          1   5351.991
  488         15          6         10          5   5352.217
  489         19          6         14          1   5368.802
  490         12          2         10          7   5389.135
  491         21          3         19          1   5389.965
  492         14          8          6          5   5398.115
  493         11          5          7          7   5421.798
  494         17         10          8          1   5429.654
  495         19          4         16          3   5447.374
  496         17          3         15          5   5448.275
  497         22          1         21          1   5452.591
  498         13          2         12          7   5465.551
  499         23          1         23          1   5469.096
  500          0          0          0          9   5476.770
  501         14          0         14          7   5493.252
  502         18          5         13          3   5497.399
  503         17          8         10          3   5498.377
  504          9          8          2          7   5507.835
  505          1          1          1          9   5513.928
  506         18          1         17          5   5516.270
  507         10          7          3          7   5517.460
  508         19          1         19          5   5537.695
  509         16          4         12          5   5542.230
  510         12          3          9          7   5546.305
  511         14         12          2          3   5546.481
  512         15          7          9          5   5546.866
  513          2          0          2          9   5546.903
  514         15         11          5          3   5552.226
  515         20          2         18          3   5559.300
  516          2          1          1          9   5572.015
  517         20          4         16          1   5579.509
  518         11          6          6          7   5588.952
  519         18          9          9          1   5591.464
  520         19          7         13          1   5595.513
  521         13         13          1          3   5599.692
  522         13         10          4          5   5611.032
  523          2          2          0          9   5613.358
  524         16         10          6          3   5618.966
  525          3          1          3          9   5619.101
  526         21          2         20          3   5623.242
  527         12         11          1          5   5623.857
  528         22          0         22          3   5640.972
  529         18          6         12          3   5652.321
  530         12          4          8          7   5653.996
  531         14          9          5          5   5658.574
  532         13          3         11          7   5681.383
  533          3          2          2          9   5683.490
  534         16         12          4          1   5693.794
  535         15         13          3          1   5695.519
  536          4          0          4          9   5699.080
  537         16          5         11          5   5699.896
  538         17          4         14          5   5716.682
  539         19          5         15          3   5727.300
  540         21          4         18          1   5738.862
  541         12          5          7          7   5750.059
  542         17          9          9          3   5750.288
  543         10          8          2          7   5751.441
  544         17         11          7          1   5752.627
  545          4          1          3          9   5752.869
  546         14          1         13          7   5755.028
  547         14         14          0          1   5756.055
  548          3          3          1          9   5764.110
  549         15          8          8          5   5769.972
  550          9          9          1          7   5775.268
  551         15          1         15          7   5781.467
  552         18          7         11          3   5783.001
  553         11          7          5          7   5787.668
  554          4          2          2          9   5793.349
  555          5          1          5          9   5803.741
  556         16          6         10          5   5817.728
  557         19          8         12          1   5819.604
  558         18          2         16          5   5831.865
  559         20          5         15          1   5844.913
  560         22          2         20          1   5847.698
  561          4          3          1          9   5862.690
  562         13          4         10          7   5870.451
  563         18         10          8          1   5875.112
  564         20          3         17          3   5888.110
  565         12          6          6          7   5891.633
  566          5          2          4          9   5893.889
  567         19          2         18          5   5898.495
  568         23          2         22          1   5909.022
  569         15         12          4          3   5911.843
  570         20          0         20          5   5918.683
  571          6          0          6          9   5924.183
