#N =          J1         KA         KC         J2          E
  575         17          4         13          5   5951.578
  576         14         10          5          5   5953.291
  577         19          5         14          3   5967.465
  578          4          4          1          9   5971.458
  579         12         12          1          5   5985.915
  580          5          3          2          9   5988.004
  581         14          3         12          7   5990.824
  582         13          4          9          7   5994.297
  583         21          2         19          3   5998.495
  584         10          9          2          7   6018.137
  585         11          8          3          7   6020.217
  586         15          9          6          5   6028.130
  587          6          2          5          9   6031.209
  588         17         10          7          3   6038.208
  589         21          4         17          1   6059.421
  590         22          2         21          3   6061.121
  591         15          1         14          7   6063.066
  592          7          0          7          9   6064.140
  593         19          9         10          1   6068.623
  594         23          0         23          3   6077.626
  595         12          7          6          7   6083.722
  596         16         13          4          1   6085.064
  597         16          1         16          7   6088.236
  598         20          7         14          1   6092.330
  599         13          5          8          7   6093.223
  600          5          4          1          9   6093.477
  601         17         12          5          1   6109.548
  602         15         14          1          1   6120.044
  603         18          4         15          5   6120.456
  604          6          3          4          9   6128.741
  605         17          5         12          5   6138.181
  606         19          6         13          3   6151.074
  607         16          8          9          5   6168.537
  608          7          1          6          9   6183.932
  609         20          5         16          3   6188.484
  610         18         11          8          1   6195.600
  611         18          9         10          3   6198.873
  612         14          4         11          7   6199.151
  613         22          4         19          1   6216.621
  614         13          6          7          7   6221.895
  615          8          1          8          9   6222.622
  616         19          2         17          5   6233.995
  617          5          5          0          9   6234.505
  618          6          4          3          9   6240.097
  619          7          2          5          9   6264.157
  620         17          6         11          5   6270.163
  621         14         11          4          5   6281.223
  622         11          9          2          7   6285.923
  623         19          7         12          3   6287.916
  624         20          2         19          5   6299.270
  625         13         12          1          5   6301.452
  626         16         12          5          3   6302.324
  627         15         13          2          3   6304.049
  628         12          8          5          7   6314.397
  629         10         10          1          7   6317.115
  630         21          0         21          5   6318.227
  631         15          2         13          7   6318.725
  632         15         10          5          5   6320.980
  633         20          8         13          1   6323.168
  634         23          2         21          1   6323.973
  635          7          3          4          9   6324.759
  636         19         10          9          1   6347.088
  637         21          3         18          3   6347.382
  638         21          5         16          1   6347.593
  639         17         11          6          3   6361.158
  640         14         14          1          3   6364.585
  641          8          2          7          9   6366.009
  642         18          5         14          5   6380.025
  643          6          5          2          9   6380.538
  644         14          5         10          7   6383.473
  645         24          2         23          1   6384.006
  646         16          2         15          7   6389.648
  647         25          0         25          1   6398.070
  648          9          0          9          9   6399.472
  649         17          7         10          5   6404.600
  650         13          7          6          7   6406.930
  651         17          0         17          7   6413.560
  652          7          4          3          9   6415.714
  653         16          9          8          5   6423.688
  654         19          8         11          3   6449.517
  655         22          3         20          3   6456.228
  656         20          6         15          3   6458.450
  657         18         10          9          3   6483.561
  658          8          3          6          9   6489.039
  659         17         13          4          1   6499.688
  660         16         14          3          1   6508.853
  661         23          1         22          3   6517.552
  662         24          1         24          3   6532.836
  663         19          3         16          5   6542.664
  664         15          3         12          7   6545.131
  665         18         12          7          1   6550.743
  666          7          5          2          9   6551.881
  667          6          6          1          9   6553.301
  668         22          5         18          1   6557.721
  669         14          6          9          7   6560.425
  670          9          1          8          9   6561.321
  671         20          9         12          1   6568.124
  672         15         15          0          1   6576.709
  673         12          9          4          7   6578.810
  674         11         10          1          7   6584.204
  675         21          6         15          1   6591.035
  676         10          1         10          9   6594.938
  677         17          8          9          5   6598.297
  678          8          4          5          9   6608.881
  679         18          6         13          5   6611.086
  680         13          8          5          7   6634.318
  681         14         12          3          5   6641.835
  682         15         11          4          5   6647.580
  683         20          3         18          5   6654.655
  684         19         11          8          1   6664.557
  685         16          3         14          7   6665.381
  686         21          4         17          3   6667.951
  687         19          9         10          3   6677.153
  688          9          2          7          9   6689.036
  689         16         13          4          3   6693.594
  690         13         13          0          5   6695.046
  691         20          7         14          3   6700.860
  692         23          3         20          1   6712.889
  693         16         10          7          5   6714.314
  694         17         12          5          3   6718.078
  695         21          1         20          5   6718.596
  696          7          6          1          9   6723.541
  697         15         14          1          3   6728.574
  698         15          4         11          7   6731.308
  699         17          1         16          7   6734.773
  700         22          1         22          5   6736.326
  701          8          5          4          9   6748.244
  702         14          7          8          7   6754.306
  703         18          1         18          7   6757.439
  704         21          7         14          1   6770.019
  705          9          3          6          9   6773.354
  706         10          2          9          9   6777.445
  707         18         11          8          3   6804.130
  708         11          0         11          9   6808.932
  709         24          3         22          1   6818.792
  710         19          4         15          5   6821.654
  711         18          7         12          5   6824.914
  712         22          4         19          3   6825.151
  713         20         10         11          1   6845.376
  714         17          9          8          5   6846.046
  715          9          4          5          9   6851.469
  716         15          5         10          7   6862.491
  717         22          6         17          1   6868.778
  718         12         10          3          7   6876.181
  719         25          1         24          1   6877.544
  720         26          1         26          1   6890.390
  721         13          9          4          7   6897.009
  722         16          4         13          7   6913.615
  723         11         11          0          7   6914.723
  724         21          8         13          1   6917.800
  725          8          6          3          9   6918.836
  726         17         14          3          1   6922.589
  727          7          7          0          9   6927.862
  728         20          8         13          3   6931.698
  729         23          2         21          3   6932.503
  730         10          3          8          9   6934.838
  731         18         13          6          1   6939.529
  732         19         10          9          3   6955.618
  733         21          5         16          3   6956.123
  734         16         15          2          1   6964.926
  735          9          5          4          9   6972.878
  736         15          6          9          7   6975.993
  737         14          8          7          7   6980.079
  738         20          4         17          5   6983.490
  739         24          2         23          3   6992.536
  740         25          0         25          3   7006.600
  741         15         12          3          5   7007.197
  742         11          1         10          9   7011.067
  743         19         12          7          1   7017.561
  744         17          2         15          7   7030.436
  745         14         13          2          5   7034.809
  746         16         11          6          5   7039.279
  747         12          1         12          9   7041.488
  748         18          8         11          5   7045.495
  749         19          5         14          5   7062.819
  750         23          4         19          1   7074.241
  751         10          4          7          9   7074.715
  752         21          2         19          5   7093.849
  753         18          2         17          7   7098.448
  754         17         13          4          3   7108.218
  755         21          9         12          1   7111.552
  756         16         14          3          3   7117.383
  757         19          0         19          7   7119.873
  758          8          7          2          9   7122.302
  759         16          5         12          7   7133.488
  760         17         10          7          5   7133.562
  761         15          7          8          7   7136.187
  762          9          6          3          9   7139.626
  763         22          7         16          1   7148.471
  764         22          2         21          5   7156.475
  765         18         12          7          3   7159.273
  766         20         11         10          1   7159.706
  767         22          5         18          3   7166.251
  768         23          0         23          5   7172.980
  769         20          9         12          3   7176.654
  770         11          2          9          9   7184.433
  771         15         15          0          3   7185.239
  772         13         10          3          7   7193.210
  773         21          6         15          3   7199.565
  774         12         11          2          7   7206.035
  775         10          5          6          9   7217.986
  776         24          4         21          1   7227.676
  777         14          9          6          7   7240.741
  778         19          6         13          5   7246.428
  779         12          2         11          9   7263.614
  780         19         11          8          3   7273.087
  781         20          5         16          5   7283.838
  782         13          0         13          9   7292.593
  783         18          9         10          5   7294.227
  784         17          3         14          7   7298.498
  785         11          3          8          9   7315.830
  786         23          3         20          3   7321.419
  787         16          6         11          7   7331.958
  788         25          2         23          1   7332.156
  789          9          7          2          9   7341.748
  790         15          8          7          7   7352.810
  791          8          8          1          9   7358.185
  792         18         14          5          1   7361.370
  793         21         10         11          1   7372.635
  794         17         15          2          1   7377.951
  795         21          7         14          3   7378.549
  796         19          7         12          5   7383.270
  797         10          6          5          9   7385.783
  798         26          2         25          1   7389.635
  799         16         12          5          5   7397.678
  800         15         13          2          5   7399.403
  801         27          0         27          1   7401.265
  802         22          8         15          1   7402.954
  803         19         13          6          1   7404.736
  804         23          5         18          1   7405.503
  805         11          4          7          9   7405.606
  806         18          3         16          7   7414.050
  807         24          3         22          3   7427.322
  808         21          3         18          5   7442.736
  809         16         16          1          1   7453.124
  810         20         10         11          3   7453.906
  811         17         11          6          5   7456.512
  812         12          3         10          9   7459.598
  813         14         14          1          5   7459.939
  814         22          6         17          3   7477.308
  815         19          1         18          7   7480.673
  816         25          1         24          3   7486.074
  817         26          1         26          3   7498.920
  818         20          1         20          7   7500.861
  819         11          5          6          9   7506.492
  820         20         12          9          1   7510.200
  821         13         11          2          7   7522.213
  822         21          8         13          3   7526.330
  823         16          7         10          7   7529.843
  824         17         14          3          3   7531.119
  825         17          4         13          7   7533.756
  826         13          1         12          9   7534.527
  827         14         10          5          7   7535.469
  828         19          8         11          5   7544.871
  829         18         13          6          3   7548.059
  830         22          3         20          5   7551.582
  831         20          6         15          5   7553.804
  832         14          1         14          9   7562.254
  833         12         12          1          7   7568.093
  834         16         15          2          3   7573.456
  835          9          8          1          9   7576.837
  836         18         10          9          5   7578.915
  837         10          7          4          9   7586.441
  838         24          5         20          1   7609.286
  839         15          9          6          7   7610.308
  840         23          1         22          5   7612.906
  841         19         12          7          3   7626.091
  842         24          1         24          5   7628.190
  843         12          4          9          9   7630.431
  844         22          9         14          1   7652.735
  845         11          6          5          9   7659.613
  846         21         11         10          1   7681.509
  847         23          4         19          3   7682.771
  848         23          6         17          1   7700.686
  849         18          4         15          7   7702.634
  850         21          9         12          3   7720.082
  851         17          5         12          7   7720.359
  852         13          2         11          9   7749.749
  853         16          8          9          7   7750.715
  854         22          7         16          3   7757.001
  855         25          3         22          1   7760.984
  856         21          4         17          5   7763.305
  857         20         11         10          3   7768.236
  858         19          9         10          5   7772.507
  859         12          5          8          9   7788.134
  860         16         13          4          5   7788.948
  861         20          7         14          5   7796.214
  862         17         12          5          5   7813.432
  863         18         15          4          1   7815.885
  864         19          2         17          7   7816.173
  865         10          8          3          9   7820.442
  866         15         14          1          5   7823.928
  867         14          2         13          9   7824.039
  868         19         14          5          1   7825.321
  869         24          4         21          3   7836.206
  870          9          9          0          9   7844.270
  871         15          0         15          9   7850.469
